V1,V2,V3,V4
307.21,-2.4108,6.7421,1.7979
66.84,-0.23155,7.6274,0.99429
195.64,-2.4925,12.49,-3.2553
35.771,-4.1406,10.801,1.3076
190.22,-1.1169,7.8862,1.076
503.44,2.7241,12.027,-2.0703
460.24,1.076,10.842,-0.88532
16.06,-5.9385,11.536,0.081722
113.77,0.0,9.5751,-0.84446
206.35,-5.4345,13.757,-3.7865
6.529,-2.4108,9.112,0.31327
44.72,-2.3427,6.6604,-0.50395
538.38,-3.5958,5.1757,-0.081722
82.45,-2.0294,9.507,-0.50395
117.26,1.8796,8.7306,-0.29965
140.91,-1.0351,8.6217,3.5958
37.349,0.23155,13.103,0.31327
73.59,1.757,10.842,1.7979
100.41,-4.2904,8.9213,-1.0351
68.6,-0.23155,8.0769,-0.19068
7.9403,0.040861,11.455,-1.1169
115.44,-3.4868,7.7772,0.53119
84.34,-2.6832,6.2109,0.0
73.88,-4.5628,11.373,-2.7513
330.82,-1.9886,8.3901,3.2961
59.71,0.46309,10.12,-0.42223
252.73,-9.2346,13.675,-0.76274
1.8805,-3.1463,13.484,1.6072
30.62,-3.2961,6.6604,1.757
309.2,-3.0646,8.8941,-0.72188
11.975,6.0202,-2.4517,9.112
497.42,0.19068,7.9679,-0.19068
639.75,2.6423,17.162,4.3994
132.79,-5.1757,9.2346,-4.0997
564.16,-1.185,8.1586,-1.7979
92.029,0.99429,7.3141,1.4165
112.3,-3.7865,4.3994,0.50395
314.14,-0.50395,4.6718,-0.19068
111.89,1.8796,10.46,0.081722
100.56,-4.985,9.8066,-1.3076
16.06,-2.9556,11.182,0.57205
145.46,-5.8159,7.9679,-2.9148
126.46,-0.69464,2.3427,0.53119
505.15,-5.4754,8.2403,0.84446
175.49,-5.6252,-0.23155,2.3018
137.08,0.081722,11.605,-0.38137
183.04,-1.8796,9.112,-1.5663
4.6701,0.27241,9.8066,-0.57205
197.99,4.2904,8.6898,-3.7865
374.02,1.0351,2.7241,4.522
90.7,5.7886,8.8124,-2.5334
24.04,-4.6718,10.338,-2.9829
284.85,-1.2667,10.338,-0.76274
209.26,-2.7241,5.4754,0.92618
70.02,-5.8567,11.836,-0.27241
99.22,-1.5663,7.1643,1.3348
520.55,-4.2087,8.5808,-1.3757
108.06,-1.4982,14.097,4.6037
38.46,-0.53119,8.7715,-3.7592
278.43,-1.6889,9.1529,1.2258
423.01,-1.6072,5.6252,-0.081722
130.72,-1.7979,8.8124,0.19068
52.12,-6.5922,8.7306,-4.0589
86.933,-5.598,7.0826,-3.4051
339.05,-2.1384,11.414,5.7886
90.69,-2.3699,12.217,-3.1463
56.22,-2.9556,10.924,-2.5606
592.25,2.3699,17.434,-2.9148
182.2,-0.14982,10.46,-4.7944
125.26,-1.7298,5.4345,8.0088
164.79,-1.3757,6.6604,6.6604
284.01,-8.6898,13.825,4.9033
172.72,-1.2258,10.079,-0.88532
32.29,-0.14982,6.0474,-0.76274
151.56,0.50395,6.6331,-0.19068
128.5,-2.8739,7.8862,0.95342
35.48,-5.5571,12.027,4.522
313.02,0.46309,7.246,0.42223
152.12,2.7922,8.3084,-0.69464
76.04,-1.2667,13.062,2.0294
22.62,-1.3348,6.17,-1.6072
193.15,-0.8036,10.188,-2.3018
639.64,-6.279,9.6568,-0.29965
150.46,-0.42223,5.9385,-1.0351
15.94,-0.8036,11.496,5.598
16.96,-5.094,5.7478,0.76274
155.28,-1.7298,7.355,7.355
76.14,0.040861,9.2755,2.1793
7.5802,2.3018,10.46,-2.9556
90.42,1.3348,12.027,-0.081722
242.61,-0.14982,7.8862,-1.185
30.209,0.14982,13.716,3.0646
227.85,-1.5663,12.79,-0.38137
16.97,3.0237,11.986,11.986
140.63,-6.0474,4.522,-1.2667
411.3,-0.23155,5.6252,8.0088
24.179,0.46309,9.4661,0.10896
182.55,-1.8387,6.17,7.2733
20.41,-1.1441,9.8475,-0.14982
288.81,-6.5514,11.114,-1.0351
216.46,0.38137,9.8475,0.19068
213.32,-0.38137,4.4402,-0.53119
176.71,0.31327,6.7829,1.757
155.27,-2.9556,8.8124,0.0
20.68,-0.46309,9.3844,-0.14982
83.01,-5.8567,10.46,-0.57205
368.38,-5.3664,13.988,-0.081722
502.14,-3.9499,8.7715,-0.38137
27.85,-0.72188,5.598,0.23155
180.81,-1.5663,8.6217,3.8273
352.34,-1.4165,5.4754,-1.4165
3.2902,-1.185,9.2755,-0.38137
322.27,-6.0202,9.003,-3.4459
30.9,-1.6072,5.2438,0.27241
39.129,-0.19068,8.9213,-0.23155
58.08,-2.9148,9.5751,-0.23155
171.34,-4.7535,11.414,0.76274
121.67,-3.1054,7.5457,0.92618
82.892,-0.081722,10.842,4.2087
308.04,-1.4165,9.616,3.7184
26.48,-3.1735,8.5808,0.27241
113.59,-4.3721,10.42,-0.72188
465.85,-5.8976,9.7658,-3.7184
138.57,-1.5255,8.7715,3.5277
82.5,-0.84446,10.692,-0.29965
7.3503,-0.8036,6.3607,2.3699
39.53,-5.5162,10.692,-3.4459
194.5,-1.3757,9.0439,3.1735
416.44,0.65378,8.8532,1.4982
53.057,-0.84446,5.3256,0.14982
276.39,-1.2258,9.6568,3.0646
72.56,-2.6832,6.2109,-0.50395
82.959,-1.3348,6.9328,2.4517
226.05,-0.27241,8.431,-2.6832
271.96,-4.8625,9.9156,0.99429
225.74,-5.0123,10.188,-0.38137
10.04,4.2495,8.3901,-0.42223
506.36,-2.1384,8.8124,-0.72188
21.43,-3.9499,7.0826,-0.38137
290.51,-3.0646,10.12,3.0237
281.03,0.23155,9.2346,2.5606
7.5402,-2.5334,12.108,-1.757
586.59,-1.0351,9.1937,-0.38137
321.49,-5.2847,9.1529,-0.65378
40.0,-1.757,7.3141,0.10896
102.62,-2.3018,8.54,1.4982
602.34,-1.5663,9.8475,-0.61292
167.92,0.46309,9.7249,-4.5901
189.82,-4.9442,6.2381,-0.8036
364.78,0.081722,7.464,-7.3958
29.44,-0.19068,8.1177,-0.72188
105.99,-7.3141,10.501,0.72188
383.15,-3.6366,14.288,-2.8739
331.12,-3.0237,8.7715,-0.38137
32.42,-2.4925,9.4253,2.7241
90.81,0.65378,7.6274,0.23155
20.7,5.1349,8.7306,-2.5334
613.69,0.081722,11.795,-1.8387
158.34,0.69464,7.5865,0.38137
129.16,-5.9385,11.114,-2.9148
141.88,0.42223,9.7249,1.1441
184.13,4.7126,9.2755,4.5628
145.53,-0.27241,9.0848,0.57205
51.577,-2.1793,5.9385,0.8036
200.82,-1.185,5.7069,-0.95342
424.49,-2.1384,8.8941,2.1793
61.95,-0.38137,8.0769,0.34051
124.45,-0.081722,12.572,-1.6889
47.459,-2.8739,9.3027,1.1441
68.811,2.9829,6.6604,-1.2667
153.54,-0.84446,8.9622,3.2553
31.7,0.23155,9.3436,-2.4925
16.49,-2.6832,9.3436,0.081722
341.53,-5.7886,6.6331,-0.46309
303.33,-0.84446,10.842,-4.7126
12.17,-0.76274,8.0496,-0.34051
72.08,-8.2676,11.918,0.31327
524.83,0.42223,8.9213,-0.34051
22.509,-0.19068,13.566,1.4982
115.26,-1.2258,11.073,0.31327
12.699,1.2667,7.8589,2.3699
14.61,-1.0351,9.2346,0.57205
5.2104,1.185,7.1643,6.3198
582.24,-0.72188,7.8181,-0.34051
62.411,1.7298,5.8295,-1.0351
68.72,0.10896,9.616,2.0294
29.59,0.10896,9.5751,2.1793
80.067,-2.0294,9.8884,0.99429
115.49,-0.040861,13.402,3.4051
139.49,-1.757,8.3901,0.27241
197.58,-2.9556,9.9973,-0.57205
607.89,-0.23155,9.112,-0.42223
208.28,-0.19068,8.0088,0.84446
257.26,-3.2961,9.4661,-0.14982
549.69,-1.9886,9.2346,-3.4868
208.28,-8.8532,13.375,3.0646
291.68,-1.6481,10.311,-3.6775
181.85,1.2258,11.141,-2.0703
131.13,-1.076,10.76,2.7922
128.11,-0.91256,5.4073,8.1995
66.378,-4.6718,10.651,-2.5334
134.8,-3.9499,7.927,-3.9499
5.0797,0.31327,9.2755,0.99429
575.49,2.8739,6.4016,-1.8387
105.05,-5.8159,9.507,-1.076
176.55,-1.4982,7.1234,6.4697
185.3,-2.1793,6.1292,-0.88532
531.27,-4.3994,13.184,-1.7298
378.71,-0.19068,6.4424,-0.65378
35.479,-0.84446,12.34,-1.2667
117.43,-1.757,6.17,1.9886
60.51,-1.6481,6.7012,-0.91256
78.553,-3.6366,8.4991,0.19068
219.68,-4.3994,16.208,-3.1054
307.48,-2.1793,11.182,-3.5685
358.19,-1.9886,12.871,-0.72188
45.47,-0.99429,10.311,-3.2144
489.27,-1.4165,11.141,-1.9886
68.28,-3.8273,10.038,0.10896
370.84,-1.1169,11.986,-0.14982
291.41,-1.2258,9.112,2.7922
15.48,1.1169,12.572,0.34051
181.51,-1.3348,6.4016,6.8238
143.45,-0.57205,8.6898,4.018
58.039,-0.57205,11.836,-1.0351
61.902,-0.91256,11.686,6.1292
434.02,-5.7886,8.9213,0.57205
37.87,-0.10896,8.4991,0.57205
192.99,-0.34051,5.6661,-0.61292
3.53,-0.84446,4.7944,8.5808
127.46,-2.833,8.2403,-2.5606
16.689,1.3076,12.762,2.3018
540.47,4.6037,-0.76274,-6.9736
155.13,-0.99429,9.003,3.0646
283.31,-1.1169,8.8941,3.5685
164.19,2.2201,10.76,-3.9771
6.7599,-0.38137,15.473,0.65378
251.37,-5.1757,8.6217,-2.7922
20.23,-2.6015,7.3958,-0.99429
591.86,6.5514,7.0145,0.99429
18.695,1.0351,4.1406,8.9622
31.409,2.7241,10.229,-0.27241
105.02,2.8739,11.414,-1.4165
42.8,-7.9679,13.103,-0.50395
77.869,0.92618,7.1643,1.1441
222.15,-0.99429,13.375,-0.8036
36.69,-0.76274,10.12,1.0351
109.98,-5.1349,8.2403,-0.50395
496.22,-1.5255,13.866,-0.95342
215.88,-0.84446,10.229,-1.2667
173.91,-0.61292,6.4016,5.8295
99.973,-4.2495,7.5865,-1.6481
74.38,-2.4925,7.5457,0.42223
97.209,-0.95342,11.073,-1.4165
52.15,-5.8567,7.6955,-4.1406
145.63,0.14982,9.003,-0.34051
153.16,-1.0351,13.716,1.8387
225.08,-5.1349,9.5751,-3.2553
146.37,-8.0088,11.373,4.7535
243.12,-1.0351,4.7944,-2.1793
31.089,-0.27241,6.1292,8.5808
151.72,-2.8739,5.2438,5.2438
303.33,-1.757,6.8238,-2.6423
62.99,2.1793,6.851,-1.6889
345.17,-2.0703,8.9622,2.9148
301.38,1.1441,9.3027,0.081722
167.34,-3.0646,8.0496,8.0496
7.1574,5.6252,9.3436,-1.2258
487.31,-3.7592,8.9213,-1.5255
103.01,-0.27241,15.282,2.1793
157.75,-4.7535,12.721,12.721
20.83,-2.9148,9.2755,0.69464
271.38,-2.4925,6.2109,-0.50395
74.0,-3.4051,9.112,-1.8387
89.639,0.65378,8.0496,-0.53119
576.04,0.040861,4.7944,-2.0703
61.62,1.6889,11.455,-2.0703
425.62,-1.4982,7.3958,-0.040861
85.06,-6.2381,12.681,-2.3699
367.27,-4.8625,12.258,-1.1441
563.59,5.2438,7.927,-1.3757
277.1,-6.17,9.1529,1.2258
234.57,-2.5334,5.1757,3.1054
204.22,-6.8919,10.038,3.1054
91.642,-1.757,10.038,5.094
210.4,-2.9829,5.0531,0.53119
80.66,1.0351,11.264,-2.4517
74.5,-1.8387,6.0202,0.50395
98.21,5.3256,8.3084,-4.4402
338.34,-5.6252,4.8625,-0.91256
87.487,-3.4459,10.76,1.185
457.95,-2.4108,7.0553,-0.27241
66.71,-3.1054,5.1349,0.92618
145.98,-0.95342,11.645,-0.081722
174.45,-2.6423,8.8532,-0.95342
17.93,-1.9205,10.733,0.38137
133.88,-6.0202,10.992,2.4925
389.48,-1.0351,7.7364,-1.1441
217.48,-1.6072,12.49,0.14982
371.69,-0.23155,6.4424,7.3958
173.38,0.84446,6.4697,0.92618
591.77,4.7944,14.41,-3.0237
56.012,-4.4811,11.836,4.9033
136.21,-0.8036,8.4991,-0.14982
68.06,-4.4402,8.3901,-1.2258
97.94,-0.040861,8.5808,1.1441
22.42,-0.081722,11.346,1.8387
68.595,-3.1054,8.1586,-1.076
116.14,5.4073,7.5457,-1.4165
433.6,-0.57205,9.9156,-0.42223
204.92,-5.203,8.1177,-0.081722
156.81,-0.040861,9.1529,2.7649
47.482,0.72188,8.8124,4.0589
309.56,-3.1054,8.9213,-0.72188
205.16,-1.076,8.3901,-0.19068
93.02,-1.4165,9.2346,-0.040861
109.47,1.4574,6.6604,8.2403
647.42,-0.53119,9.1937,-1.4982
93.45,0.53119,9.4253,-2.7241
633.38,-7.3958,10.46,1.4574
14.26,-3.8682,8.4719,-1.5255
315.82,1.8796,10.529,2.1112
2.8003,-0.53119,5.7069,5.7069
579.39,-0.23155,10.229,-4.0997
151.81,-0.53119,12.027,-0.46309
57.34,-1.4165,5.0123,-1.5663
105.16,-2.0703,6.0883,0.84446
87.96,-0.081722,10.692,-0.53119
556.17,-0.72188,9.6568,-0.95342
131.09,8.6217,5.2847,5.2847
298.97,-4.3994,13.593,-1.4574
94.7,-1.4165,5.7478,7.5048
648.66,-0.76274,15.432,0.38137
122.93,-3.2553,8.8941,2.5334
254.18,-1.5255,9.1529,-3.9499
360.62,-9.9156,10.529,-1.8387
46.37,-8.8124,12.367,0.14982
223.68,-5.0531,8.1177,-0.57205
115.83,-3.3642,8.0496,-0.91256
60.13,-9.8884,14.901,0.19068
40.87,3.4051,12.027,2.3018
659.09,0.23155,8.54,-0.50395
96.24,-1.1441,7.5457,-0.34051
135.09,2.3427,7.8181,0.040861
161.51,0.14982,11.346,-0.69464
131.95,-1.7298,5.6661,-0.23155
33.867,0.0,5.4073,0.65378
215.22,-6.8919,14.056,0.46309
22.919,0.65378,9.3436,0.040861
99.152,1.6072,12.408,0.76274
4.0703,7.1234,7.9679,-5.4754
233.58,-2.2201,2.2201,-1.6481
87.3,-5.4345,6.6604,2.1793
612.92,-7.0145,8.8941,-4.018
83.419,-0.040861,10.038,-1.076
525.86,-2.6015,9.6977,-1.9205
109.0,0.46309,7.927,0.14982
79.829,1.1169,13.716,-0.88532
95.209,-2.9556,10.27,0.65378
47.38,-1.6889,5.3664,7.246
59.34,0.92618,6.6604,-5.6252
59.19,-0.29965,8.1995,-0.84446
205.16,-5.1349,8.1586,-0.19068
526.79,-7.3141,9.112,0.46309
6.5601,6.3198,6.4697,-3.2144
52.48,0.0,10.229,-1.9886
617.23,-1.3757,11.564,-0.95342
421.86,-0.34051,8.1995,-0.14982
316.53,-2.5334,8.3084,-3.6366
392.81,-1.1441,8.7715,0.081722
96.89,0.19068,7.3958,-0.88532
81.9,4.985,8.1586,-2.5334
216.46,-3.4868,7.464,-0.14982
185.17,0.50395,11.346,-2.4108
144.95,-7.4367,14.015,-1.7979
31.71,-4.6309,11.414,-1.2258
61.381,-7.3141,10.379,-3.6775
49.59,1.9205,9.9156,-0.76274
670.84,0.34051,11.305,0.76274
159.15,-0.081722,9.507,1.2258
369.79,-1.6889,5.0531,-1.3348
415.02,-0.99429,8.8532,0.99429
591.2,2.152,16.086,-2.1112
620.21,-9.2346,12.408,1.7298
279.49,3.2144,10.229,-4.4402
248.84,-2.9556,4.8625,-0.34051
583.02,7.0145,8.1995,-1.0351
90.78,0.53119,7.464,1.185
72.509,-0.8036,7.6274,1.0351
50.819,0.95342,7.1234,0.27241
16.58,6.3607,6.2109,-2.9148
207.37,-2.2201,8.6625,-0.23155
92.74,-6.6331,8.9213,-0.8036
449.24,-0.8036,9.2755,0.14982
419.21,-2.6423,8.4719,3.0646
159.84,-0.46309,9.3844,1.2258
20.41,0.27241,9.6568,-0.53119
146.95,-0.50395,8.1177,-0.61292
193.06,-0.34051,5.8567,1.0351
93.631,-0.8036,9.3844,2.9829
5.08,4.1406,7.5457,-3.0237
46.167,-2.2201,9.8475,0.88532
169.44,-1.1441,3.2553,9.0439
252.38,-0.84446,9.616,-1.3348
247.72,-1.4982,12.531,-1.6072
84.08,-0.72188,9.8884,0.10896
128.98,-1.6481,8.6217,4.2087
564.4,3.2144,6.279,-0.84446
481.28,2.261,12.762,-2.261
132.1,5.2438,9.5751,-2.0294
75.523,0.42223,9.2755,-0.19068
464.5,-3.0646,5.2166,-0.040861
12.219,0.72188,10.338,-0.27241
73.97,-4.5901,10.079,-2.6423
112.65,-0.42223,6.3607,1.185
1.9691,0.081722,4.6718,8.5808
69.56,-5.4345,12.681,-1.185
246.51,-8.3493,11.114,2.9148
41.389,-0.19068,13.716,-0.040861
160.35,-0.57205,6.6331,6.6331
533.27,0.19068,8.0496,-0.72188
302.97,-6.0883,10.311,2.261
100.18,1.4165,9.9156,-0.10896
51.361,-0.57205,6.17,7.246
125.5,-8.2676,4.7126,-1.6889
279.73,-1.6072,7.2733,-2.4108
6.0495,0.72188,6.851,1.757
24.54,-3.1735,11.686,-0.88532
490.49,-3.7184,6.8238,-1.8387
79.099,1.076,6.9328,1.2258
84.5,0.23155,13.634,0.14982
55.532,-2.1112,10.992,1.6072
125.51,-1.3757,5.2166,8.0088
101.11,-1.4165,9.1937,0.42223
44.75,-3.5277,8.6625,0.31327
320.33,-3.0646,10.801,-1.9477
0.36002,-1.1441,7.6683,5.5162
68.13,-4.2087,16.549,-3.4868
272.67,-3.0646,5.7886,-0.53119
332.59,0.14982,9.5751,1.8796
66.989,1.0351,7.7364,1.5663
68.422,-1.1169,6.8238,2.3018
79.95,1.6481,10.038,-0.040861
91.379,-0.61292,12.408,2.7241
207.89,1.3076,8.8124,-0.23155
53.282,-2.1793,9.7658,0.38137
349.7,-3.4868,7.9679,-3.5685
244.44,-0.91256,9.507,0.10896
93.95,-1.1169,5.6661,7.6274
320.41,-6.2381,11.795,-2.3699
90.36,-3.2144,4.4402,0.081722
310.06,-2.9556,9.003,-0.84446
116.35,-4.2495,10.801,-0.50395
222.31,-6.3607,10.188,0.19068
94.5,-4.1814,9.6977,-0.84446
103.59,-2.6832,4.5628,0.34051
175.29,-1.185,8.9213,-1.185
45.05,-5.7886,7.2733,-2.4517
73.32,4.0589,4.985,-0.95342
129.96,-1.5663,7.8862,0.99429
410.49,-1.076,6.17,7.8589
58.29,-3.8682,6.9736,1.4165
89.13,0.57205,7.4367,1.2667
243.0,3.4868,9.5751,-2.1112
6.9202,-2.261,9.1937,9.1937
5.5403,0.10896,-4.0589,-0.84446
16.859,0.14982,10.27,1.4574
18.611,-4.7944,6.8919,-1.2667
17.345,1.3348,8.1177,-0.10896
81.44,-1.4982,9.9565,-0.72188
95.909,-0.61292,5.598,7.927
115.31,-6.3607,12.64,-1.8387
12.76,-1.6481,9.3436,-0.29965
21.72,-6.9328,9.5751,-2.8739
58.129,-0.95342,5.3664,0.0
120.08,-5.7478,12.762,-1.7979
134.56,1.076,8.0496,8.0496
230.32,-3.0646,10.311,-3.8682
11.889,-1.2667,8.9622,2.7922
214.7,-1.185,8.3493,4.4811
653.24,-1.7298,7.0826,8.6217
31.51,-4.018,9.3844,-0.69464
97.85,-5.7886,11.795,-0.38137
578.15,-0.19068,3.2144,-1.4165
27.49,1.6072,9.2755,0.23155
41.24,4.3994,8.4719,-1.9477
84.89,1.0351,8.7306,-0.42223
84.43,-4.3994,8.54,-1.6889
45.43,-1.4574,8.3493,-0.99429
75.139,0.0,12.599,2.3018
146.86,-0.14982,7.3141,0.27241
45.23,-3.0237,7.3141,-0.10896
14.77,-2.8739,9.4253,3.2144
76.903,-2.6832,9.3027,0.8036
166.89,-4.4402,8.9213,-0.14982
122.22,-0.50395,9.5751,-0.99429
49.94,-6.0474,11.959,0.53119
179.9,-1.9477,11.032,1.6889
69.38,-2.7241,7.1643,1.2258
553.22,10.529,6.8919,-4.6309
82.26,0.53119,8.3084,1.1169
585.94,0.34051,9.003,-0.53119
465.41,-0.50395,11.114,-2.6832
111.0,-1.3757,5.9793,7.6274
404.45,-1.9886,9.3436,2.3699
482.18,-2.7922,4.3994,1.0351
108.45,-0.34051,8.2403,2.152
119.12,0.34051,7.2733,-2.5334
474.42,0.84446,4.1406,-3.4868
184.16,0.0,4.3721,8.9213
0.12723,0.040861,6.9736,6.7829
137.3,-0.91256,8.3901,1.9205
35.489,1.4982,12.027,-1.9477
39.64,2.6015,5.3256,1.2258
196.9,-2.0294,8.0496,3.3778
485.33,-0.46309,7.4367,-3.5685
185.13,2.9829,10.529,-2.8739
257.17,-1.3076,5.1349,-0.91256
132.71,11.455,3.5685,3.5685
331.63,-1.8796,13.253,-0.14982
150.48,-3.3642,10.188,4.2495
132.73,1.8387,8.6625,0.0
328.6,-4.6309,7.2733,-3.8273
228.27,-1.076,8.2403,-0.50395
302.57,-1.0351,5.598,7.2733
614.87,-6.17,8.0088,-0.88532
347.18,-2.7241,8.0088,3.7592
202.67,-5.2438,8.1586,0.040861
392.99,-1.4574,5.2438,-0.50395
50.947,-0.42223,5.598,-0.14982
531.38,-2.3018,6.7829,0.14982
48.38,-3.4459,9.0439,-0.42223
402.26,-6.9736,15.214,-0.42223
29.61,-3.4868,8.9213,0.46309
365.45,-0.99429,7.8589,4.522
89.4,0.14982,9.8475,-2.833
139.2,-2.7922,7.5865,-1.3076
345.76,-1.2667,11.414,0.53119
588.44,1.2667,7.355,-0.57205
646.03,-1.4982,13.443,1.3348
224.75,-1.5255,8.8124,3.4051
65.31,0.0,7.5048,-0.8036
16.791,-0.29965,9.5751,-1.0351
3.0701,1.8387,7.7772,-3.4051
