carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.42,60.8,59.0,4.85,4.79,2.93,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.3,61.1,58.0,6.98,7.02,4.28,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.49,62.6,54.0,7.31,7.28,4.57,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,61.4,59.0,5.12,5.1,3.14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.07,62.4,57.0,6.56,6.58,4.1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.9,61.8,63.0,6.21,6.18,3.83,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,61.4,56.0,5.18,5.21,3.19,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.46,62.1,56.0,4.93,4.96,3.07,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.31,62.0,56.0,4.38,4.36,2.71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,62.3,57.0,5.65,5.68,3.53,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.38,61.7,56.0,4.64,4.67,2.87,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.33,62.1,56.0,4.48,4.44,2.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.5,58.0,4.27,4.31,2.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,62.3,55.0,5.67,5.7,3.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.95,59.8,60.0,6.36,6.34,3.8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.03,62.3,59.0,6.39,6.45,4.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.42,63.4,56.0,4.74,4.82,3.03,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.0,56.0,4.87,4.9,2.98,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.7,61.8,57.0,5.71,5.68,3.52,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.5,62.8,58.0,5.02,5.05,3.16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.13,60.9,58.0,6.75,6.72,4.1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,61.5,54.0,4.4,4.41,2.71,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.23,63.2,58.0,6.82,6.74,4.29,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.25,61.6,57.0,4.1,4.08,2.52,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.11,61.4,58.0,6.63,6.66,4.08,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.23,61.7,57.0,6.94,6.9,4.27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,60.7,59.0,6.45,6.41,3.9,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.01,61.8,62.0,6.28,6.35,3.9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.26,63.1,59.0,4.08,4.04,2.56,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1.01,60.6,58.0,6.47,6.53,3.94,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.05,62.3,56.0,6.47,6.54,4.05,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1.68,62.0,55.0,7.59,7.66,4.73,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.5,62.0,55.0,7.33,7.36,4.56,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,63.4,57.0,4.21,4.24,2.68,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.54,61.6,55.0,5.24,5.28,3.24,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.33,61.2,55.0,4.48,4.51,2.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.33,62.8,59.0,4.38,4.44,2.77,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2.54,63.5,58.0,8.67,8.56,5.47,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0.32,62.0,58.0,4.39,4.38,2.72,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.32,61.7,55.0,4.4,4.42,2.72,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.51,64.0,59.0,7.29,7.17,4.63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9,62.0,61.0,6.07,6.13,3.78,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.45,60.6,60.0,7.27,7.16,4.37,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.5,62.2,56.0,5.1,5.12,3.18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.7,63.7,55.0,5.63,5.58,3.57,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.54,62.0,55.0,5.24,5.21,3.24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.2,55.0,5.76,5.68,3.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.75,63.1,58.0,5.78,5.73,3.63,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.7,56.0,4.27,4.28,2.68,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0.59,62.0,54.0,5.36,5.38,3.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36,62.0,56.0,4.61,4.55,2.84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,61.1,59.0,7.41,7.35,4.51,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.5,62.7,59.0,5.02,5.06,3.16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.41,62.3,53.0,4.78,4.75,2.97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.11,62.3,58.0,6.65,6.61,4.13,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.03,78.2,54.0,5.72,5.59,4.42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.52,61.7,61.0,7.35,7.3,4.52,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.47,61.5,55.0,5.01,5.04,3.09,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.41,60.9,56.0,4.84,4.81,2.94,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,61.4,60.0,6.44,6.49,3.97,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.36,60.7,56.0,4.63,4.65,2.82,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.34,61.9,58.0,4.43,4.45,2.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.75,61.6,54.8,7.73,7.78,4.78,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.13,62.7,55.0,6.69,6.61,4.17,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.04,59.6,59.0,6.59,6.56,3.92,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.54,60.9,59.0,7.56,7.46,4.57,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.32,61.8,56.0,4.42,4.45,2.74,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.06,62.0,58.0,6.53,6.45,4.04,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.25,58.8,60.0,5.33,5.28,3.12,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.35,62.3,55.0,4.54,4.51,2.82,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.7,62.1,57.0,7.68,7.63,4.75,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.98,62.6,55.0,8.04,8.1,5.05,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.51,60.8,56.0,5.21,5.22,3.17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3,61.1,56.0,4.33,4.37,2.66,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.33,62.0,59.0,4.46,4.41,2.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.5,62.2,59.0,7.3,7.32,4.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.04,61.6,55.0,6.51,6.55,4.02,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.58,59.9,56.0,5.41,5.47,3.26,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.91,63.6,57.0,6.13,6.1,3.89,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.07,59.2,57.0,6.7,6.64,3.95,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.03,62.4,57.0,6.41,6.45,4.01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.96,61.2,57.0,6.34,6.38,3.89,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1.51,61.3,61.0,7.41,7.34,4.52,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.7,59.1,61.0,7.79,7.85,4.62,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.71,60.0,58.0,5.92,5.84,3.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.71,61.9,57.0,5.73,5.77,3.56,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.01,61.3,57.0,6.44,6.47,3.96,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.32,61.3,60.0,4.39,4.42,2.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.32,61.9,53.0,4.42,4.47,2.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.0,60.3,58.0,6.43,6.47,3.89,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.41,61.8,56.0,4.79,4.75,2.95,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,61.6,55.0,6.51,6.41,3.98,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.51,59.7,58.0,5.2,5.26,3.12,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.52,60.7,58.0,5.23,5.18,3.16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,66.0,64.0,7.1,6.97,4.64,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.3,62.3,54.0,4.31,4.33,2.69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2.5,64.9,58.0,8.46,8.43,5.48,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.34,59.3,60.0,4.58,4.52,2.7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.77,63.3,57.0,5.79,5.83,3.68,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1.05,62.7,54.0,6.5,6.54,4.09,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.25,60.9,60.0,6.93,6.97,4.23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.31,61.8,58.0,4.35,4.39,2.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.57,58.3,61.0,5.49,5.54,3.21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.16,59.9,57.0,6.85,6.93,4.13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.75,62.6,55.0,5.86,5.81,3.65,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.72,61.7,55.0,5.77,5.81,3.57,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.61,61.4,55.7,5.43,5.53,3.37,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.71,64.1,59.0,7.51,7.46,4.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3,62.0,58.0,4.28,4.3,2.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.33,61.9,56.0,4.45,4.4,2.74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0,63.4,56.0,6.34,6.37,4.03,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,62.2,59.0,4.31,4.28,2.67,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.3,62.5,59.0,4.28,4.23,2.66,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0,58.5,59.0,6.62,6.51,3.84,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.25,60.6,60.0,6.92,6.95,4.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.59,61.5,58.0,5.45,5.41,3.34,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.52,65.3,58.0,7.14,7.1,4.65,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.32,64.8,58.0,6.9,6.83,4.45,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.01,63.4,57.0,6.4,6.31,4.03,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.34,61.3,57.0,4.47,4.5,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,62.5,54.0,6.39,6.42,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.38,63.4,62.0,4.52,4.56,2.88,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,63.2,59.0,5.62,5.59,3.54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.04,63.6,59.0,6.4,6.36,4.06,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.06,62.8,55.0,6.53,6.56,4.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.54,61.8,56.0,5.24,5.21,3.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,61.8,56.0,4.48,4.45,2.76,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.04,60.8,58.0,8.14,8.23,4.98,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.53,62.1,53.2,5.17,5.21,3.22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.29,61.1,58.0,7.03,6.98,4.28,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.24,62.0,56.0,3.99,4.03,2.48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.42,60.6,58.0,4.83,4.88,2.94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.54,59.1,65.0,5.28,5.32,3.13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.32,61.6,56.0,7.11,7.05,4.36,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,63.7,55.0,4.24,4.27,2.71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.91,62.8,59.0,6.21,6.17,3.89,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.42,60.8,56.0,7.25,7.32,4.43,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.25,61.8,61.0,8.46,8.39,5.21,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.31,62.0,60.0,4.34,4.3,2.68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.36,62.3,58.0,4.51,4.55,2.82,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1.14,60.5,60.0,6.77,6.75,4.09,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.33,62.1,53.0,4.48,4.5,2.79,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.01,63.1,59.0,6.36,6.32,4.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.41,59.8,61.0,4.84,4.79,2.88,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.72,62.7,56.0,5.67,5.75,3.58,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.31,61.6,55.0,4.38,4.42,2.71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.32,62.6,55.0,4.41,4.38,2.75,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.25,62.8,59.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.32,62.2,58.0,6.99,7.04,4.36,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.38,60.0,56.0,4.72,4.76,2.84,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.51,63.8,57.0,7.24,7.18,4.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.0,61.0,62.0,6.4,6.46,3.92,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0.45,66.8,59.0,4.79,4.63,3.16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.31,63.1,55.0,4.33,4.36,2.74,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.2,56.0,5.72,5.78,3.52,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.05,62.6,59.0,6.5,6.43,4.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.38,61.9,57.0,4.63,4.65,2.87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.0,63.0,59.0,7.97,8.0,5.03,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.51,60.0,58.0,7.51,7.45,4.49,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.3,62.7,54.0,4.29,4.32,2.7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.7,61.7,58.0,5.66,5.71,3.51,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.25,61.5,56.0,7.0,6.92,4.28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.59,63.4,56.0,5.36,5.29,3.38,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.13,60.1,59.0,6.77,6.81,4.08,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.61,62.1,58.0,7.47,7.53,4.66,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1.0,58.1,65.0,6.54,6.48,3.78,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.79,62.8,59.0,5.86,5.89,3.69,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.51,61.7,57.0,5.12,5.15,3.17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.29,62.0,58.0,7.03,6.97,4.34,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.31,63.1,54.0,4.38,4.33,2.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,61.3,56.0,6.83,6.87,4.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.51,61.5,59.0,7.34,7.38,4.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,62.4,54.0,4.3,4.32,2.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.27,62.2,59.0,4.12,4.08,2.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5,62.8,57.0,9.65,9.59,6.03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.4,60.4,63.0,4.68,4.72,2.84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1.13,61.2,57.0,6.7,6.72,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.31,61.5,58.0,4.33,4.35,2.67,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.52,62.1,56.0,5.15,5.17,3.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.03,63.5,58.0,6.38,6.4,4.06,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0.7,61.8,53.0,5.73,5.69,3.53,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.26,61.3,58.0,6.99,6.91,4.26,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.71,62.7,57.0,5.66,5.7,3.56,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,59.1,62.0,5.8,5.91,3.46,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.01,61.8,59.0,6.37,6.44,3.96,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9,62.6,55.0,6.11,6.13,3.83,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0.93,63.1,57.0,6.17,6.19,3.9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.06,62.0,58.0,6.5,6.57,4.05,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.42,60.5,59.0,4.79,4.83,2.91,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,58.6,63.0,6.56,6.58,3.85,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.09,61.3,56.0,6.71,6.66,4.1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.01,61.5,61.0,6.37,6.47,3.95,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.02,63.1,56.0,8.06,8.02,5.07,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1.5,64.7,53.0,7.22,7.15,4.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.48,58.7,58.0,5.22,5.17,3.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.01,64.3,57.0,6.32,6.25,4.04,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.33,59.4,59.0,4.5,4.52,2.68,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.9,61.3,56.0,6.17,6.23,3.8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1.01,63.4,60.0,6.37,6.31,4.02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1.22,61.1,57.0,6.9,5.92,4.22,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.24,60.8,59.0,4.02,4.0,2.44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.31,61.2,55.0,4.37,4.39,2.68,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.61,62.3,55.0,5.47,5.42,3.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.21,61.6,58.0,6.89,6.84,4.23,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.31,61.9,56.0,4.36,4.39,2.71,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.32,62.1,53.0,4.41,4.44,2.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.33,61.3,58.0,4.42,4.45,2.72,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.46,61.7,55.0,4.99,5.02,3.09,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.73,61.4,57.0,5.76,5.8,3.55,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,64.2,60.0,5.58,5.64,3.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.27,62.2,54.0,4.16,4.2,2.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.31,61.9,54.0,4.38,4.41,2.72,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.63,58.9,59.0,5.64,5.6,3.31,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.59,62.4,58.0,7.43,7.48,4.65,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.43,61.5,56.0,4.9,4.86,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.02,60.3,63.0,6.45,6.49,3.9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.31,63.6,56.0,4.33,4.28,2.74,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.56,61.5,57.0,5.27,5.34,3.26,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.39,60.1,57.0,4.74,4.77,2.85,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.42,63.4,56.0,4.75,4.78,3.02,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
