Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3
2784.0,63.0,6.0,60.0,0.0,1560.0,226.0,227.0,135.0,1639.0,0.0,0.0,1.0
2719.0,63.0,23.0,576.0,-51.0,3121.0,233.0,186.0,72.0,2655.0,0.0,0.0,1.0
2791.0,348.0,14.0,60.0,9.0,1027.0,192.0,216.0,161.0,2079.0,0.0,0.0,1.0
2827.0,9.0,11.0,607.0,14.0,3393.0,207.0,217.0,146.0,2643.0,0.0,0.0,1.0
2767.0,2.0,14.0,120.0,12.0,1515.0,199.0,212.0,149.0,1487.0,0.0,0.0,1.0
2763.0,14.0,9.0,60.0,0.0,1473.0,212.0,222.0,147.0,1598.0,0.0,0.0,1.0
2744.0,14.0,10.0,30.0,2.0,812.0,211.0,220.0,145.0,2100.0,0.0,0.0,1.0
2694.0,71.0,16.0,552.0,39.0,3097.0,236.0,208.0,99.0,2768.0,0.0,0.0,1.0
2744.0,17.0,17.0,162.0,23.0,892.0,204.0,203.0,132.0,1940.0,0.0,0.0,1.0
2687.0,16.0,14.0,339.0,32.0,3260.0,207.0,209.0,137.0,2974.0,0.0,0.0,1.0
2815.0,29.0,16.0,417.0,102.0,2644.0,213.0,204.0,123.0,175.0,0.0,0.0,1.0
2617.0,64.0,12.0,443.0,11.0,2833.0,231.0,215.0,114.0,2699.0,0.0,0.0,1.0
2685.0,20.0,14.0,361.0,37.0,3230.0,209.0,210.0,135.0,2958.0,0.0,0.0,1.0
2801.0,30.0,5.0,541.0,69.0,3420.0,218.0,228.0,146.0,2779.0,0.0,0.0,1.0
2772.0,356.0,13.0,216.0,1.0,2826.0,199.0,217.0,155.0,2296.0,0.0,0.0,1.0
2787.0,19.0,16.0,470.0,70.0,3391.0,207.0,204.0,131.0,2832.0,0.0,0.0,1.0
2627.0,65.0,12.0,524.0,21.0,2899.0,232.0,215.0,113.0,2778.0,0.0,0.0,1.0
2695.0,22.0,17.0,277.0,33.0,3349.0,207.0,200.0,126.0,3021.0,0.0,0.0,1.0
2698.0,22.0,16.0,339.0,34.0,3287.0,207.0,203.0,128.0,2964.0,0.0,0.0,1.0
2742.0,41.0,18.0,492.0,61.0,3243.0,219.0,197.0,106.0,2796.0,0.0,0.0,1.0
2733.0,23.0,17.0,350.0,46.0,3369.0,208.0,202.0,126.0,2937.0,0.0,0.0,1.0
2739.0,39.0,23.0,499.0,-47.0,3120.0,214.0,183.0,94.0,2579.0,0.0,0.0,1.0
2811.0,31.0,13.0,573.0,-1.0,3301.0,216.0,212.0,129.0,2634.0,0.0,0.0,1.0
2760.0,7.0,17.0,90.0,15.0,1507.0,197.0,204.0,141.0,1421.0,0.0,0.0,1.0
2803.0,355.0,23.0,180.0,48.0,1583.0,175.0,192.0,149.0,1403.0,0.0,0.0,1.0
2756.0,25.0,19.0,443.0,60.0,3333.0,207.0,195.0,118.0,2846.0,0.0,0.0,1.0
2776.0,16.0,20.0,443.0,59.0,3392.0,198.0,193.0,127.0,2856.0,0.0,0.0,1.0
2708.0,22.0,17.0,277.0,40.0,3376.0,207.0,200.0,126.0,3012.0,0.0,0.0,1.0
2745.0,6.0,16.0,228.0,32.0,2559.0,199.0,208.0,144.0,424.0,0.0,0.0,1.0
2709.0,22.0,17.0,339.0,44.0,3314.0,207.0,201.0,126.0,2954.0,0.0,0.0,1.0
2785.0,310.0,13.0,175.0,14.0,1595.0,185.0,231.0,186.0,1500.0,0.0,0.0,1.0
2702.0,24.0,16.0,382.0,38.0,3254.0,210.0,204.0,127.0,2922.0,0.0,0.0,1.0
2778.0,37.0,17.0,537.0,69.0,3301.0,217.0,201.0,114.0,2755.0,0.0,0.0,1.0
2628.0,75.0,13.0,510.0,22.0,2896.0,236.0,214.0,107.0,2751.0,0.0,0.0,1.0
2801.0,343.0,15.0,95.0,19.0,1054.0,188.0,215.0,165.0,2036.0,0.0,0.0,1.0
2777.0,11.0,20.0,430.0,60.0,3422.0,195.0,196.0,134.0,2874.0,0.0,0.0,1.0
2833.0,14.0,22.0,384.0,20.0,3189.0,194.0,190.0,126.0,2442.0,0.0,0.0,1.0
2599.0,17.0,10.0,30.0,0.0,2173.0,212.0,219.0,144.0,1235.0,0.0,0.0,1.0
2719.0,9.0,24.0,402.0,-30.0,2940.0,187.0,186.0,129.0,2486.0,0.0,0.0,1.0
2662.0,67.0,17.0,560.0,-56.0,2977.0,235.0,203.0,94.0,2711.0,0.0,0.0,1.0
2760.0,41.0,26.0,492.0,-33.0,3151.0,213.0,173.0,81.0,2571.0,0.0,0.0,1.0
2716.0,351.0,17.0,150.0,9.0,2469.0,187.0,208.0,158.0,492.0,0.0,0.0,1.0
2784.0,21.0,23.0,446.0,-20.0,3152.0,198.0,185.0,115.0,2522.0,0.0,0.0,1.0
2740.0,16.0,16.0,323.0,44.0,3428.0,204.0,205.0,134.0,2971.0,0.0,0.0,1.0
2829.0,99.0,14.0,390.0,116.0,2549.0,243.0,220.0,103.0,277.0,0.0,0.0,1.0
2760.0,6.0,27.0,417.0,-26.0,3061.0,174.0,175.0,128.0,2496.0,0.0,0.0,1.0
2749.0,44.0,19.0,516.0,62.0,3242.0,221.0,195.0,102.0,2771.0,0.0,0.0,1.0
2677.0,66.0,13.0,573.0,-46.0,3004.0,232.0,213.0,110.0,2672.0,0.0,0.0,1.0
2748.0,32.0,18.0,474.0,61.0,3273.0,213.0,198.0,115.0,2812.0,0.0,0.0,1.0
2713.0,32.0,16.0,446.0,51.0,3219.0,215.0,204.0,121.0,2856.0,0.0,0.0,1.0
2598.0,36.0,10.0,30.0,1.0,2173.0,219.0,218.0,133.0,1301.0,0.0,0.0,1.0
2701.0,20.0,21.0,484.0,-48.0,3000.0,201.0,191.0,120.0,2568.0,0.0,0.0,1.0
2788.0,34.0,10.0,108.0,-4.0,1620.0,219.0,218.0,134.0,1606.0,0.0,0.0,1.0
2794.0,329.0,19.0,192.0,24.0,1624.0,170.0,213.0,181.0,1482.0,0.0,0.0,1.0
2750.0,7.0,14.0,42.0,5.0,842.0,202.0,212.0,145.0,2076.0,0.0,0.0,1.0
2804.0,51.0,13.0,240.0,49.0,1653.0,226.0,211.0,116.0,1318.0,0.0,0.0,1.0
2661.0,351.0,22.0,417.0,-57.0,2851.0,175.0,196.0,155.0,2549.0,0.0,0.0,1.0
2913.0,153.0,8.0,481.0,115.0,2897.0,231.0,241.0,142.0,342.0,0.0,0.0,1.0
2651.0,57.0,25.0,488.0,-67.0,2914.0,228.0,180.0,71.0,2630.0,0.0,0.0,1.0
2785.0,54.0,15.0,309.0,72.0,2594.0,227.0,206.0,108.0,242.0,0.0,0.0,1.0
2837.0,16.0,21.0,408.0,24.0,3219.0,198.0,192.0,126.0,2460.0,0.0,0.0,1.0
2694.0,21.0,15.0,361.0,37.0,3257.0,208.0,206.0,132.0,2948.0,0.0,0.0,1.0
2762.0,55.0,21.0,600.0,-24.0,3210.0,227.0,190.0,86.0,2679.0,0.0,0.0,1.0
2771.0,17.0,11.0,60.0,0.0,1500.0,211.0,218.0,142.0,1626.0,0.0,0.0,1.0
2782.0,20.0,25.0,319.0,-4.0,2974.0,194.0,178.0,111.0,2398.0,0.0,0.0,1.0
2726.0,352.0,17.0,175.0,16.0,2499.0,188.0,208.0,156.0,469.0,0.0,0.0,1.0
2779.0,351.0,14.0,42.0,7.0,962.0,194.0,215.0,159.0,2081.0,0.0,0.0,1.0
2760.0,1.0,16.0,90.0,13.0,1500.0,196.0,209.0,149.0,1442.0,0.0,0.0,1.0
2817.0,38.0,16.0,511.0,4.0,3273.0,218.0,203.0,116.0,2568.0,0.0,0.0,1.0
2534.0,54.0,8.0,134.0,10.0,2460.0,225.0,223.0,131.0,2416.0,0.0,0.0,1.0
2955.0,34.0,15.0,641.0,160.0,2881.0,216.0,205.0,120.0,1224.0,0.0,0.0,1.0
2794.0,31.0,11.0,300.0,39.0,1732.0,217.0,216.0,133.0,1211.0,0.0,0.0,1.0
2562.0,316.0,32.0,376.0,173.0,601.0,118.0,194.0,206.0,1149.0,0.0,0.0,0.0
2573.0,10.0,20.0,150.0,24.0,1454.0,194.0,196.0,134.0,1521.0,0.0,0.0,1.0
2893.0,98.0,8.0,765.0,98.0,3041.0,234.0,228.0,126.0,1602.0,0.0,0.0,1.0
2695.0,41.0,19.0,108.0,30.0,1731.0,219.0,194.0,103.0,1159.0,0.0,0.0,1.0
2728.0,55.0,15.0,201.0,48.0,1657.0,228.0,207.0,109.0,2168.0,0.0,0.0,1.0
2700.0,63.0,11.0,201.0,32.0,2580.0,230.0,218.0,120.0,854.0,0.0,0.0,1.0
2851.0,111.0,10.0,162.0,32.0,2148.0,237.0,229.0,122.0,1312.0,0.0,0.0,1.0
2885.0,119.0,19.0,571.0,219.0,2391.0,249.0,220.0,92.0,1940.0,0.0,0.0,1.0
2902.0,81.0,7.0,513.0,104.0,3037.0,230.0,227.0,129.0,450.0,0.0,0.0,1.0
2838.0,303.0,17.0,564.0,106.0,162.0,170.0,229.0,199.0,1765.0,0.0,0.0,1.0
2628.0,37.0,20.0,268.0,83.0,1716.0,215.0,192.0,105.0,1503.0,0.0,0.0,1.0
2506.0,330.0,20.0,268.0,136.0,845.0,169.0,212.0,180.0,1493.0,0.0,0.0,0.0
2609.0,346.0,28.0,108.0,40.0,1829.0,155.0,184.0,160.0,1395.0,0.0,0.0,1.0
2749.0,85.0,25.0,108.0,28.0,2674.0,246.0,189.0,57.0,402.0,0.0,0.0,1.0
2674.0,68.0,31.0,67.0,18.0,1693.0,233.0,163.0,38.0,1980.0,0.0,0.0,1.0
2611.0,2.0,19.0,120.0,15.0,2221.0,191.0,201.0,145.0,1500.0,0.0,0.0,1.0
2721.0,141.0,18.0,60.0,15.0,1380.0,243.0,233.0,112.0,2505.0,0.0,0.0,1.0
3015.0,51.0,21.0,1041.0,217.0,3102.0,225.0,189.0,88.0,1040.0,0.0,0.0,1.0
2751.0,47.0,15.0,162.0,38.0,2480.0,224.0,205.0,111.0,390.0,0.0,0.0,1.0
2833.0,90.0,26.0,182.0,54.0,3180.0,249.0,190.0,54.0,659.0,0.0,0.0,1.0
2720.0,58.0,12.0,242.0,6.0,864.0,228.0,214.0,117.0,277.0,0.0,0.0,1.0
2586.0,54.0,15.0,150.0,39.0,1598.0,228.0,207.0,109.0,1353.0,0.0,0.0,1.0
2717.0,207.0,26.0,450.0,-77.0,2142.0,194.0,253.0,181.0,1680.0,0.0,0.0,1.0
2852.0,180.0,25.0,457.0,186.0,2201.0,220.0,245.0,143.0,1999.0,0.0,0.0,1.0
2719.0,55.0,17.0,295.0,-2.0,805.0,228.0,203.0,102.0,268.0,0.0,0.0,1.0
2663.0,180.0,27.0,0.0,0.0,2576.0,219.0,244.0,141.0,947.0,0.0,0.0,1.0
2595.0,44.0,13.0,295.0,70.0,1150.0,222.0,211.0,121.0,1184.0,0.0,0.0,1.0
2465.0,30.0,13.0,30.0,7.0,1148.0,216.0,211.0,129.0,824.0,0.0,0.0,0.0
2691.0,64.0,9.0,324.0,64.0,2389.0,229.0,221.0,125.0,2282.0,0.0,0.0,1.0
2722.0,160.0,21.0,90.0,17.0,1519.0,236.0,239.0,123.0,2442.0,0.0,0.0,1.0
2767.0,19.0,17.0,108.0,38.0,1401.0,205.0,202.0,129.0,2568.0,0.0,0.0,1.0
2819.0,78.0,9.0,604.0,89.0,2994.0,232.0,223.0,123.0,1664.0,0.0,0.0,1.0
2896.0,95.0,27.0,242.0,91.0,2710.0,250.0,190.0,50.0,1224.0,0.0,0.0,1.0
2379.0,77.0,23.0,95.0,30.0,511.0,241.0,192.0,69.0,553.0,0.0,0.0,1.0
2556.0,57.0,17.0,30.0,9.0,1443.0,230.0,203.0,100.0,1832.0,0.0,0.0,1.0
2480.0,308.0,22.0,134.0,55.0,764.0,153.0,220.0,204.0,1698.0,0.0,0.0,1.0
2800.0,89.0,13.0,497.0,70.0,2886.0,239.0,219.0,108.0,1771.0,0.0,0.0,1.0
2748.0,135.0,17.0,210.0,47.0,1732.0,245.0,230.0,108.0,2308.0,0.0,0.0,1.0
2893.0,108.0,20.0,631.0,227.0,2448.0,250.0,212.0,81.0,1889.0,0.0,0.0,1.0
2744.0,17.0,27.0,170.0,20.0,2703.0,187.0,173.0,112.0,2295.0,0.0,0.0,1.0
2613.0,78.0,12.0,481.0,74.0,1440.0,235.0,219.0,114.0,1771.0,0.0,0.0,1.0
2787.0,75.0,11.0,108.0,21.0,2156.0,234.0,219.0,116.0,684.0,0.0,0.0,1.0
2826.0,60.0,17.0,182.0,38.0,1358.0,231.0,202.0,99.0,1361.0,0.0,0.0,1.0
2587.0,9.0,12.0,390.0,66.0,182.0,206.0,216.0,146.0,785.0,0.0,0.0,0.0
2458.0,321.0,20.0,85.0,26.0,722.0,166.0,217.0,189.0,1742.0,0.0,0.0,1.0
2941.0,63.0,16.0,474.0,136.0,2753.0,232.0,207.0,102.0,1507.0,0.0,0.0,1.0
2843.0,106.0,22.0,510.0,177.0,2368.0,251.0,207.0,72.0,2039.0,0.0,0.0,1.0
2841.0,56.0,16.0,216.0,53.0,1437.0,229.0,205.0,105.0,1385.0,0.0,0.0,1.0
2502.0,335.0,22.0,258.0,134.0,834.0,164.0,204.0,176.0,1510.0,0.0,0.0,0.0
2520.0,105.0,16.0,42.0,10.0,1480.0,246.0,218.0,96.0,1600.0,0.0,0.0,1.0
2637.0,342.0,15.0,218.0,41.0,2268.0,187.0,216.0,166.0,1565.0,0.0,0.0,1.0
2808.0,250.0,11.0,361.0,76.0,295.0,196.0,248.0,190.0,2006.0,0.0,0.0,1.0
2980.0,181.0,9.0,467.0,190.0,2936.0,223.0,246.0,156.0,1507.0,0.0,0.0,1.0
2417.0,41.0,18.0,95.0,16.0,537.0,219.0,197.0,106.0,577.0,0.0,0.0,1.0
2895.0,126.0,17.0,395.0,97.0,2958.0,246.0,226.0,102.0,300.0,0.0,0.0,1.0
2687.0,92.0,5.0,108.0,19.0,2340.0,229.0,231.0,137.0,743.0,0.0,0.0,1.0
2760.0,281.0,14.0,124.0,28.0,150.0,180.0,240.0,200.0,2207.0,0.0,0.0,1.0
2831.0,122.0,20.0,60.0,12.0,2215.0,250.0,220.0,89.0,1165.0,0.0,0.0,1.0
2693.0,15.0,17.0,335.0,51.0,362.0,202.0,202.0,133.0,618.0,0.0,0.0,1.0
2456.0,68.0,27.0,60.0,28.0,853.0,235.0,174.0,53.0,531.0,0.0,0.0,0.0
2834.0,75.0,19.0,212.0,58.0,3261.0,240.0,200.0,83.0,1605.0,0.0,0.0,1.0
2564.0,62.0,19.0,379.0,121.0,1034.0,232.0,197.0,90.0,1140.0,0.0,0.0,1.0
2483.0,326.0,26.0,90.0,40.0,990.0,147.0,201.0,188.0,1565.0,0.0,0.0,1.0
2805.0,71.0,19.0,192.0,25.0,2813.0,237.0,200.0,87.0,162.0,0.0,0.0,1.0
2965.0,12.0,17.0,594.0,170.0,3062.0,201.0,204.0,137.0,902.0,0.0,0.0,1.0
2600.0,11.0,17.0,90.0,13.0,2058.0,201.0,204.0,138.0,1530.0,0.0,0.0,1.0
2816.0,76.0,27.0,268.0,98.0,2457.0,241.0,177.0,49.0,362.0,0.0,0.0,1.0
2486.0,266.0,15.0,153.0,51.0,301.0,182.0,245.0,202.0,153.0,0.0,0.0,0.0
2784.0,35.0,13.0,234.0,18.0,2022.0,218.0,211.0,126.0,816.0,0.0,0.0,1.0
2560.0,25.0,14.0,90.0,8.0,1032.0,212.0,208.0,130.0,1158.0,0.0,0.0,1.0
2717.0,39.0,19.0,170.0,52.0,1731.0,217.0,195.0,106.0,1142.0,0.0,0.0,1.0
2588.0,15.0,24.0,153.0,37.0,1574.0,192.0,184.0,121.0,1475.0,0.0,0.0,1.0
2667.0,78.0,15.0,67.0,16.0,2571.0,238.0,211.0,100.0,1012.0,0.0,0.0,1.0
2656.0,91.0,12.0,60.0,12.0,1939.0,238.0,221.0,111.0,960.0,0.0,0.0,1.0
2466.0,252.0,25.0,134.0,40.0,408.0,157.0,248.0,222.0,153.0,0.0,0.0,0.0
2184.0,6.0,21.0,153.0,38.0,335.0,190.0,195.0,137.0,446.0,0.0,0.0,0.0
2496.0,70.0,15.0,67.0,13.0,430.0,235.0,210.0,103.0,366.0,0.0,0.0,0.0
2525.0,10.0,27.0,85.0,23.0,886.0,181.0,177.0,123.0,979.0,0.0,0.0,1.0
2667.0,104.0,14.0,0.0,0.0,1800.0,243.0,221.0,105.0,134.0,0.0,0.0,1.0
2794.0,149.0,21.0,256.0,86.0,1620.0,242.0,233.0,109.0,2290.0,0.0,0.0,1.0
2949.0,52.0,15.0,499.0,144.0,2781.0,227.0,206.0,108.0,1524.0,0.0,0.0,1.0
2572.0,334.0,15.0,108.0,18.0,2047.0,184.0,219.0,173.0,2163.0,0.0,0.0,1.0
2704.0,32.0,20.0,90.0,8.0,1749.0,211.0,193.0,111.0,1307.0,0.0,0.0,1.0
2823.0,357.0,24.0,150.0,55.0,3031.0,174.0,188.0,146.0,485.0,0.0,0.0,1.0
2469.0,286.0,25.0,120.0,36.0,342.0,143.0,230.0,223.0,30.0,0.0,0.0,0.0
2841.0,139.0,22.0,134.0,36.0,2589.0,246.0,227.0,98.0,1183.0,0.0,0.0,1.0
2837.0,24.0,20.0,351.0,71.0,2202.0,204.0,192.0,117.0,638.0,0.0,0.0,1.0
2491.0,70.0,32.0,295.0,132.0,691.0,235.0,161.0,33.0,743.0,0.0,0.0,1.0
2557.0,63.0,20.0,362.0,114.0,1024.0,233.0,196.0,86.0,1110.0,0.0,0.0,1.0
2517.0,20.0,28.0,85.0,35.0,1063.0,189.0,170.0,104.0,1379.0,0.0,0.0,1.0
2891.0,120.0,27.0,182.0,72.0,2308.0,253.0,207.0,63.0,1224.0,0.0,0.0,1.0
2576.0,332.0,17.0,277.0,122.0,573.0,180.0,217.0,176.0,376.0,0.0,0.0,1.0
2711.0,17.0,16.0,240.0,54.0,1740.0,205.0,205.0,133.0,2136.0,0.0,0.0,1.0
2671.0,79.0,19.0,60.0,20.0,2628.0,241.0,203.0,85.0,1001.0,0.0,0.0,1.0
2802.0,163.0,19.0,42.0,7.0,2125.0,234.0,242.0,131.0,1116.0,0.0,0.0,1.0
2562.0,312.0,13.0,285.0,94.0,594.0,184.0,230.0,186.0,752.0,0.0,0.0,0.0
2465.0,53.0,27.0,42.0,3.0,510.0,223.0,171.0,65.0,1061.0,0.0,0.0,0.0
2688.0,345.0,16.0,162.0,31.0,1848.0,186.0,212.0,164.0,2215.0,0.0,0.0,1.0
2198.0,347.0,33.0,510.0,41.0,659.0,140.0,168.0,153.0,942.0,0.0,0.0,0.0
2243.0,52.0,20.0,402.0,94.0,420.0,226.0,194.0,94.0,1657.0,0.0,0.0,0.0
2196.0,357.0,39.0,30.0,35.0,741.0,133.0,142.0,126.0,573.0,0.0,0.0,0.0
2333.0,7.0,28.0,256.0,178.0,1195.0,175.0,174.0,126.0,1302.0,0.0,0.0,0.0
2347.0,271.0,12.0,60.0,8.0,30.0,187.0,244.0,196.0,721.0,0.0,0.0,0.0
2452.0,308.0,25.0,470.0,210.0,708.0,142.0,215.0,208.0,400.0,0.0,0.0,0.0
2270.0,31.0,39.0,30.0,18.0,1464.0,180.0,128.0,55.0,1006.0,0.0,0.0,0.0
2266.0,328.0,17.0,30.0,8.0,750.0,175.0,217.0,180.0,552.0,0.0,0.0,0.0
2218.0,46.0,16.0,175.0,138.0,192.0,223.0,203.0,109.0,511.0,0.0,0.0,0.0
2621.0,359.0,10.0,175.0,21.0,698.0,205.0,221.0,154.0,1324.0,0.0,0.0,1.0
2313.0,333.0,22.0,175.0,58.0,706.0,163.0,205.0,178.0,450.0,0.0,0.0,0.0
2283.0,329.0,27.0,150.0,73.0,934.0,147.0,198.0,184.0,190.0,0.0,0.0,0.0
2142.0,296.0,35.0,306.0,248.0,342.0,103.0,206.0,231.0,351.0,0.0,0.0,0.0
2405.0,87.0,8.0,42.0,-5.0,1642.0,232.0,227.0,127.0,361.0,0.0,0.0,1.0
2481.0,314.0,35.0,120.0,67.0,342.0,107.0,188.0,210.0,918.0,0.0,0.0,0.0
2384.0,317.0,32.0,228.0,-21.0,837.0,123.0,195.0,203.0,1405.0,0.0,0.0,0.0
2596.0,359.0,16.0,255.0,39.0,430.0,195.0,210.0,151.0,907.0,0.0,0.0,1.0
2423.0,314.0,16.0,300.0,90.0,0.0,176.0,226.0,189.0,495.0,0.0,0.0,0.0
2317.0,67.0,20.0,30.0,6.0,134.0,236.0,197.0,85.0,691.0,0.0,0.0,1.0
2159.0,286.0,27.0,150.0,56.0,750.0,136.0,227.0,226.0,268.0,0.0,0.0,0.0
2313.0,254.0,16.0,420.0,51.0,150.0,183.0,249.0,203.0,418.0,0.0,0.0,0.0
2303.0,280.0,41.0,150.0,96.0,297.0,79.0,206.0,248.0,1365.0,0.0,0.0,0.0
2395.0,308.0,8.0,42.0,-8.0,1405.0,197.0,235.0,178.0,658.0,0.0,0.0,1.0
2370.0,36.0,26.0,30.0,21.0,1260.0,208.0,173.0,87.0,972.0,0.0,0.0,0.0
1960.0,325.0,26.0,67.0,46.0,108.0,146.0,201.0,189.0,433.0,0.0,0.0,0.0
2302.0,335.0,22.0,85.0,26.0,339.0,166.0,206.0,175.0,474.0,0.0,0.0,0.0
2242.0,340.0,38.0,90.0,30.0,1482.0,115.0,157.0,164.0,977.0,0.0,0.0,0.0
2679.0,98.0,24.0,127.0,46.0,2414.0,250.0,199.0,63.0,2389.0,0.0,0.0,1.0
2286.0,340.0,33.0,300.0,161.0,1092.0,134.0,174.0,167.0,1213.0,0.0,0.0,0.0
2308.0,2.0,28.0,361.0,151.0,805.0,170.0,175.0,133.0,924.0,0.0,0.0,0.0
2011.0,322.0,33.0,60.0,26.0,120.0,120.0,188.0,197.0,592.0,0.0,0.0,0.0
2483.0,86.0,10.0,90.0,-2.0,175.0,235.0,223.0,119.0,1254.0,0.0,0.0,1.0
2354.0,18.0,30.0,42.0,4.0,837.0,182.0,163.0,103.0,566.0,0.0,0.0,0.0
2429.0,347.0,23.0,201.0,16.0,713.0,170.0,196.0,160.0,1528.0,0.0,0.0,0.0
2293.0,321.0,22.0,470.0,216.0,1266.0,159.0,213.0,191.0,1187.0,0.0,0.0,0.0
2594.0,357.0,15.0,516.0,208.0,769.0,196.0,212.0,153.0,1087.0,0.0,0.0,0.0
2707.0,123.0,24.0,342.0,73.0,2456.0,252.0,214.0,76.0,2230.0,0.0,0.0,1.0
2087.0,260.0,26.0,150.0,76.0,212.0,147.0,243.0,228.0,534.0,0.0,0.0,0.0
2278.0,283.0,20.0,127.0,-19.0,485.0,161.0,237.0,214.0,469.0,0.0,0.0,0.0
2287.0,25.0,28.0,270.0,82.0,1103.0,194.0,169.0,98.0,170.0,0.0,0.0,0.0
2373.0,314.0,26.0,60.0,31.0,1124.0,144.0,210.0,202.0,1112.0,0.0,0.0,0.0
2526.0,319.0,27.0,270.0,112.0,216.0,139.0,203.0,198.0,808.0,0.0,0.0,0.0
2273.0,334.0,38.0,124.0,61.0,1406.0,110.0,163.0,176.0,1036.0,0.0,0.0,0.0
2420.0,277.0,21.0,242.0,79.0,124.0,159.0,239.0,217.0,591.0,0.0,0.0,0.0
2584.0,14.0,22.0,180.0,50.0,1345.0,193.0,189.0,126.0,1599.0,0.0,0.0,1.0
2178.0,33.0,31.0,335.0,228.0,361.0,198.0,157.0,77.0,272.0,0.0,0.0,0.0
2430.0,6.0,13.0,309.0,121.0,391.0,203.0,214.0,147.0,319.0,0.0,0.0,0.0
2096.0,284.0,14.0,42.0,7.0,417.0,180.0,240.0,199.0,481.0,0.0,0.0,0.0
2429.0,264.0,15.0,127.0,35.0,330.0,182.0,246.0,202.0,792.0,0.0,0.0,0.0
2313.0,350.0,26.0,335.0,188.0,1025.0,164.0,186.0,154.0,1269.0,0.0,0.0,0.0
1919.0,65.0,26.0,0.0,0.0,42.0,234.0,178.0,0.0,331.0,0.0,0.0,0.0
