lon,lat,med_age,total_rooms,total_beds,population,households,med_income
-117.11,32.77,52.0,1484.0,224.0,498.0,223.0,6.6053
-116.68,33.71,21.0,3460.0,711.0,658.0,255.0,3.5882
-118.3,34.08,32.0,2880.0,1063.0,3646.0,1028.0,2.3846
-117.69,34.07,35.0,3222.0,559.0,1970.0,550.0,3.7083
-121.83,37.23,7.0,5389.0,903.0,2232.0,825.0,6.6659
-117.92,33.68,28.0,3397.0,597.0,1397.0,560.0,4.8125
-118.15,34.13,30.0,2763.0,520.0,1143.0,465.0,4.7298
-118.56,34.19,34.0,2579.0,561.0,1237.0,517.0,4.433
-117.22,33.93,14.0,5104.0,1026.0,3513.0,972.0,3.2148
-119.98,38.94,23.0,1564.0,298.0,339.0,147.0,4.0417
-122.06,38.25,34.0,1562.0,289.0,898.0,307.0,3.3598
-121.42,38.72,10.0,3054.0,528.0,1932.0,510.0,3.0903
-118.44,34.03,30.0,1039.0,303.0,606.0,274.0,3.125
-122.66,38.46,14.0,2364.0,631.0,1300.0,625.0,2.6023
-120.57,39.78,15.0,1291.0,283.0,582.0,242.0,2.1216
-121.32,38.67,31.0,2532.0,479.0,1396.0,467.0,4.0417
-118.13,34.09,42.0,700.0,212.0,662.0,210.0,3.0078
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375
-119.7,34.42,41.0,725.0,239.0,582.0,214.0,3.1667
-122.65,38.48,17.0,1090.0,164.0,473.0,163.0,5.5061
-121.72,38.8,36.0,1069.0,228.0,567.0,190.0,1.9559
-117.1,32.58,17.0,2046.0,559.0,1585.0,530.0,2.25
-122.41,37.74,48.0,409.0,86.0,148.0,70.0,3.6687
-118.33,34.06,52.0,1368.0,231.0,737.0,248.0,8.3617
-118.26,34.06,40.0,637.0,273.0,1150.0,263.0,1.8625
-121.3,38.13,27.0,1004.0,192.0,470.0,192.0,2.8942
-117.88,34.12,34.0,912.0,165.0,522.0,150.0,4.0417
-122.52,37.98,31.0,6555.0,1571.0,2962.0,1464.0,2.8903
-118.34,33.79,36.0,716.0,123.0,388.0,124.0,5.0254
-121.5,38.34,36.0,1212.0,255.0,569.0,256.0,2.0048
-122.32,40.42,17.0,3019.0,578.0,1538.0,545.0,2.793
-118.1,34.09,42.0,1460.0,289.0,829.0,273.0,4.875
-117.07,32.64,38.0,1486.0,269.0,745.0,295.0,4.6477
-118.2,34.13,52.0,2035.0,459.0,2589.0,438.0,3.5349
-118.19,33.87,35.0,1769.0,436.0,1166.0,386.0,2.875
-122.52,37.92,47.0,793.0,163.0,334.0,151.0,5.8509
-122.39,37.76,52.0,3390.0,691.0,1645.0,596.0,3.7051
-122.35,40.68,36.0,1822.0,449.0,930.0,399.0,1.3801
-118.28,33.78,20.0,2233.0,591.0,1915.0,558.0,3.2011
-118.28,34.25,29.0,2559.0,787.0,1886.0,769.0,2.6036
-118.21,34.21,41.0,1676.0,263.0,757.0,255.0,4.7734
-120.51,36.55,20.0,1193.0,263.0,1274.0,241.0,1.9417
-117.95,33.88,34.0,1939.0,355.0,817.0,314.0,3.6705
-121.61,38.38,37.0,1365.0,276.0,952.0,268.0,4.037
-122.05,37.38,23.0,3200.0,907.0,2029.0,866.0,3.5649
-120.88,37.37,24.0,1294.0,222.0,684.0,221.0,2.6908
-121.9,37.37,20.0,78.0,72.0,120.0,69.0,1.0938
-121.34,38.05,16.0,667.0,92.0,267.0,90.0,5.6147
-120.36,40.45,19.0,689.0,143.0,355.0,127.0,1.7333
-122.94,38.5,46.0,2280.0,492.0,807.0,366.0,2.6316
-118.1,33.84,36.0,1915.0,316.0,850.0,319.0,4.7222
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218
-121.79,37.23,17.0,2281.0,359.0,1226.0,394.0,5.4193
-118.37,34.22,17.0,1787.0,463.0,1671.0,448.0,3.5521
-118.92,35.47,6.0,1755.0,280.0,664.0,254.0,6.2885
-118.46,34.01,39.0,711.0,148.0,347.0,153.0,4.2813
-119.83,34.43,31.0,798.0,346.0,699.0,301.0,2.1417
-118.27,33.98,45.0,1696.0,424.0,1502.0,429.0,1.3042
-118.23,33.93,23.0,545.0,131.0,610.0,126.0,1.4861
-122.56,38.01,21.0,2144.0,400.0,840.0,398.0,4.6
-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3.1917
-123.17,39.15,30.0,1904.0,331.0,816.0,325.0,4.425
-118.18,33.79,20.0,1255.0,360.0,1201.0,318.0,1.2206
-121.92,37.28,26.0,6201.0,783.0,2381.0,819.0,7.9819
-121.97,37.32,19.0,4620.0,1404.0,2672.0,1308.0,3.699
-118.46,34.04,31.0,2621.0,707.0,1632.0,673.0,3.287
-118.31,33.98,50.0,1985.0,454.0,1090.0,410.0,1.825
-122.04,37.65,10.0,8299.0,1326.0,3827.0,1288.0,6.2579
-121.5,38.62,8.0,16679.0,3457.0,7919.0,3329.0,3.7188
-118.28,34.01,48.0,483.0,190.0,775.0,188.0,2.3309
-116.85,34.26,19.0,5395.0,1220.0,981.0,366.0,2.6094
-122.54,38.0,28.0,3416.0,826.0,1694.0,800.0,3.18
-118.84,34.17,16.0,3449.0,820.0,1877.0,816.0,3.2176
-121.37,38.68,29.0,3757.0,646.0,2022.0,611.0,3.5429
-117.15,32.76,36.0,2644.0,674.0,1211.0,654.0,3.0445
-118.07,33.88,16.0,4934.0,825.0,2668.0,810.0,5.748
-121.43,38.46,18.0,1378.0,235.0,818.0,262.0,4.0625
-117.25,34.53,13.0,5841.0,955.0,2455.0,915.0,4.1333
-117.24,32.85,18.0,3117.0,475.0,904.0,368.0,6.7587
-118.34,34.05,52.0,2194.0,504.0,997.0,438.0,2.6654
-117.68,34.12,16.0,2181.0,321.0,1133.0,350.0,5.7214
-118.31,33.84,5.0,3559.0,869.0,2965.0,794.0,2.6491
-122.02,37.31,34.0,2629.0,433.0,1301.0,431.0,6.083
-117.33,34.03,18.0,2342.0,402.0,1264.0,382.0,4.7986
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9
-121.79,39.73,8.0,5690.0,1189.0,2887.0,1077.0,3.0625
-118.34,34.01,37.0,4291.0,1102.0,1941.0,953.0,1.7945
-122.51,37.91,2.0,647.0,136.0,203.0,118.0,6.641
-122.03,37.3,30.0,3007.0,554.0,1551.0,616.0,5.8521
-122.55,37.9,34.0,1431.0,224.0,503.0,220.0,7.9606
-117.81,33.66,16.0,1414.0,191.0,635.0,230.0,10.0757
-121.06,37.45,33.0,1401.0,299.0,915.0,282.0,3.4464
-118.02,33.93,35.0,2400.0,398.0,1218.0,408.0,4.1312
-120.43,37.35,15.0,1613.0,203.0,673.0,213.0,5.9378
-119.33,35.59,20.0,3085.0,691.0,2645.0,676.0,1.7868
-118.22,33.89,41.0,990.0,228.0,776.0,207.0,2.125
-122.36,37.95,38.0,1066.0,248.0,729.0,286.0,1.5139
-119.68,36.81,16.0,2668.0,454.0,1536.0,457.0,3.9792
-119.12,35.39,13.0,1264.0,202.0,552.0,187.0,4.5903
-117.25,32.74,36.0,3548.0,956.0,1648.0,866.0,2.6962
-118.01,34.1,35.0,2120.0,412.0,1375.0,405.0,3.4609
-119.13,35.22,5.0,6268.0,1003.0,3269.0,980.0,5.1457
-117.76,35.22,4.0,18.0,3.0,8.0,6.0,1.625
-118.49,34.02,30.0,2075.0,687.0,1026.0,592.0,3.1635
-117.23,32.8,31.0,1403.0,388.0,724.0,371.0,2.6403
-122.0,37.96,28.0,4071.0,713.0,2033.0,647.0,4.5833
-118.02,33.76,27.0,2905.0,587.0,1781.0,561.0,4.25
-119.04,34.28,21.0,1856.0,276.0,863.0,255.0,4.5833
-122.31,37.91,43.0,2549.0,511.0,1060.0,528.0,3.6417
-119.95,38.94,24.0,2180.0,517.0,755.0,223.0,2.5875
-118.4,34.15,31.0,3881.0,909.0,1535.0,846.0,3.0398
-121.77,36.93,20.0,2587.0,547.0,1534.0,540.0,2.4375
-117.93,33.61,27.0,1806.0,465.0,791.0,358.0,3.8125
-118.29,33.92,40.0,1935.0,461.0,1616.0,433.0,2.875
-122.33,38.0,35.0,3779.0,711.0,2493.0,679.0,2.9781
-117.01,32.83,17.0,15401.0,3280.0,7302.0,3176.0,3.3067
-118.2,33.96,43.0,1233.0,306.0,1190.0,282.0,2.8371
-120.86,37.77,28.0,1208.0,232.0,535.0,232.0,2.3523
-122.19,38.07,20.0,3000.0,525.0,1207.0,491.0,4.6406
-122.14,37.47,37.0,3373.0,815.0,2909.0,705.0,2.8868
-121.23,37.84,28.0,1347.0,241.0,713.0,225.0,4.0208
-118.35,34.03,35.0,1438.0,333.0,794.0,306.0,1.975
-118.14,33.91,32.0,1981.0,472.0,1371.0,431.0,3.1204
-119.27,34.26,23.0,3578.0,753.0,1455.0,649.0,4.1898
-122.12,38.01,50.0,1300.0,263.0,691.0,239.0,3.9519
-122.4,37.73,50.0,1947.0,411.0,1170.0,384.0,3.4769
-116.99,33.77,7.0,10352.0,2007.0,3559.0,1689.0,2.2925
-119.71,34.42,23.0,2068.0,658.0,1898.0,570.0,2.5506
-121.92,36.62,52.0,728.0,161.0,313.0,142.0,3.4327
-118.38,33.85,28.0,4430.0,928.0,2131.0,885.0,4.9384
-117.96,33.75,22.0,2300.0,539.0,1625.0,542.0,2.78
-118.15,34.86,10.0,4597.0,1009.0,2227.0,821.0,2.6149
-118.3,34.1,29.0,3403.0,1367.0,3432.0,1174.0,1.7083
-118.15,33.89,30.0,4426.0,995.0,4196.0,921.0,3.274
-117.01,32.81,26.0,4499.0,645.0,1866.0,626.0,5.516
-117.08,32.76,27.0,1221.0,254.0,606.0,259.0,3.0833
-118.17,34.01,36.0,1657.0,425.0,1689.0,418.0,2.7799
-117.78,33.68,11.0,1994.0,477.0,849.0,411.0,4.0187
-117.68,33.6,24.0,1956.0,262.0,969.0,256.0,6.8154
-117.96,34.09,30.0,2686.0,613.0,2477.0,573.0,3.4427
-117.04,34.04,30.0,3474.0,735.0,1674.0,691.0,2.5863
-117.25,33.25,6.0,6160.0,993.0,2997.0,1029.0,4.6187
-121.66,36.82,17.0,3921.0,654.0,1895.0,641.0,5.0092
-118.37,34.05,35.0,2457.0,552.0,1159.0,523.0,3.0862
-120.36,36.13,29.0,1938.0,434.0,1306.0,415.0,3.0134
-118.2,33.93,36.0,1191.0,345.0,1193.0,295.0,2.5185
-118.39,34.01,35.0,4424.0,918.0,2101.0,888.0,3.9688
-118.12,34.56,5.0,6446.0,1154.0,3427.0,1104.0,3.9936
-118.35,33.93,31.0,2746.0,697.0,1973.0,598.0,3.5139
-122.44,37.79,52.0,1726.0,384.0,614.0,356.0,3.6812
-121.43,38.64,34.0,2010.0,411.0,1501.0,422.0,2.0417
-117.94,33.99,18.0,6100.0,1018.0,3112.0,982.0,4.9932
-122.05,37.95,22.0,5175.0,1213.0,2804.0,1091.0,2.85
-118.01,33.76,26.0,2141.0,597.0,2038.0,585.0,2.2981
-120.45,34.63,32.0,1840.0,309.0,828.0,333.0,4.5486
-121.87,37.42,25.0,4430.0,729.0,2685.0,721.0,5.6965
-118.16,33.92,44.0,1368.0,277.0,899.0,271.0,3.5938
-118.47,34.04,21.0,5041.0,1491.0,2719.0,1420.0,3.5335
-118.38,33.85,31.0,3533.0,729.0,1647.0,679.0,5.5843
-121.53,36.85,23.0,3359.0,725.0,1862.0,651.0,2.6719
-118.41,34.01,43.0,2000.0,529.0,1290.0,514.0,4.7031
-118.29,34.04,44.0,1941.0,579.0,2049.0,535.0,2.0405
-122.47,37.78,52.0,1941.0,436.0,955.0,425.0,4.1339
-119.35,36.33,14.0,1195.0,220.0,568.0,229.0,3.1486
-121.26,37.95,44.0,819.0,184.0,677.0,183.0,1.725
-121.82,36.86,17.0,1573.0,272.0,142.0,55.0,2.1719
-121.83,37.99,16.0,2919.0,462.0,1456.0,453.0,5.6779
-118.28,33.93,41.0,936.0,257.0,913.0,226.0,2.0313
-122.41,37.8,52.0,2450.0,741.0,1415.0,664.0,2.8229
-121.76,37.29,15.0,2267.0,348.0,1150.0,327.0,7.1267
-120.99,37.67,28.0,1768.0,423.0,1066.0,392.0,1.8315
-118.04,33.95,35.0,1945.0,357.0,1227.0,359.0,5.2162
-117.95,33.97,33.0,1113.0,145.0,424.0,137.0,8.3474
-117.29,34.49,3.0,7689.0,1545.0,3804.0,1399.0,3.3871
-117.14,32.71,52.0,800.0,313.0,1337.0,282.0,1.5594
-118.38,34.17,30.0,2016.0,622.0,1359.0,557.0,2.7708
-116.9,33.74,14.0,2281.0,426.0,894.0,430.0,2.3712
-119.66,36.33,10.0,1623.0,409.0,988.0,395.0,1.4194
-121.74,36.49,33.0,2952.0,565.0,1264.0,517.0,4.4209
-122.45,37.67,36.0,1664.0,326.0,963.0,322.0,4.7813
-119.29,36.35,15.0,1740.0,319.0,1332.0,308.0,2.5743
-118.01,33.84,35.0,4166.0,713.0,2354.0,709.0,5.1775
-118.29,33.73,30.0,3161.0,813.0,1865.0,771.0,2.7139
-122.08,37.89,39.0,3018.0,501.0,1223.0,489.0,6.2924
-117.99,33.75,22.0,3024.0,754.0,2357.0,743.0,3.3125
-118.11,34.04,28.0,3913.0,696.0,2264.0,697.0,5.2446
-121.97,37.53,26.0,2506.0,387.0,1273.0,406.0,5.4299
-122.53,38.32,22.0,3577.0,553.0,1371.0,501.0,5.795
-118.28,33.78,37.0,1212.0,304.0,1076.0,293.0,3.2115
-118.31,33.74,36.0,2464.0,472.0,1111.0,457.0,4.5074
-118.21,34.2,35.0,3646.0,552.0,1409.0,534.0,6.3794
-117.97,33.65,26.0,2379.0,336.0,988.0,346.0,5.3674
-118.25,34.17,52.0,1532.0,292.0,631.0,275.0,5.1242
-118.43,34.07,34.0,3203.0,483.0,949.0,439.0,10.3467
-117.08,32.75,20.0,1886.0,586.0,1134.0,525.0,1.5029
-118.17,33.77,37.0,1127.0,327.0,492.0,331.0,2.675
-121.33,38.57,17.0,1621.0,350.0,706.0,338.0,2.3684
-120.95,38.79,12.0,3247.0,579.0,1459.0,517.0,4.3981
-118.39,33.89,38.0,1851.0,332.0,750.0,314.0,7.3356
-122.44,37.73,39.0,1912.0,418.0,970.0,406.0,4.7813
-119.18,35.5,36.0,1253.0,259.0,932.0,249.0,2.1635
-121.56,39.51,46.0,1885.0,385.0,871.0,347.0,1.6352
-118.25,34.06,12.0,4011.0,1438.0,1673.0,1088.0,5.3081
-121.79,38.69,23.0,1755.0,321.0,1061.0,313.0,2.8864
-122.54,37.94,26.0,3990.0,804.0,1550.0,792.0,5.1834
-122.31,37.54,49.0,1340.0,281.0,660.0,284.0,4.163
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618
-117.59,33.65,4.0,1793.0,390.0,897.0,386.0,4.2463
-118.4,34.1,27.0,3979.0,510.0,1351.0,520.0,15.0001
-118.38,34.18,24.0,1983.0,651.0,2251.0,574.0,2.4792
-119.45,36.59,41.0,1749.0,342.0,1171.0,314.0,1.6875
-118.22,33.98,32.0,2643.0,737.0,2784.0,711.0,2.5352
-122.08,37.4,23.0,806.0,158.0,373.0,156.0,5.9291
-118.08,33.77,26.0,2461.0,562.0,971.0,544.0,2.1944
-120.44,34.91,12.0,3189.0,463.0,1200.0,442.0,5.299
-122.46,37.76,52.0,2236.0,545.0,1186.0,532.0,3.4531
-122.14,37.43,52.0,1944.0,308.0,696.0,293.0,8.2664
-122.43,37.8,52.0,2520.0,649.0,959.0,607.0,5.7934
-121.44,38.47,16.0,1215.0,223.0,787.0,233.0,4.1597
-122.35,37.97,31.0,2892.0,685.0,2104.0,641.0,3.2188
-122.25,39.79,16.0,2127.0,412.0,1104.0,369.0,3.0469
-121.88,37.64,20.0,1309.0,184.0,514.0,172.0,10.9506
-117.95,33.8,34.0,1654.0,285.0,905.0,292.0,4.6389
-121.87,37.3,28.0,859.0,199.0,455.0,211.0,2.3293
-118.1,33.83,36.0,1408.0,250.0,702.0,251.0,4.875
-116.98,34.13,16.0,2098.0,449.0,342.0,143.0,4.0333
-118.19,33.95,42.0,2309.0,685.0,2609.0,673.0,2.7206
-121.9,37.3,52.0,1456.0,269.0,582.0,277.0,5.036
-121.21,38.75,11.0,4552.0,639.0,2006.0,623.0,4.3962
-119.59,34.39,35.0,622.0,170.0,278.0,139.0,3.6969
-121.35,38.46,2.0,6992.0,1132.0,2816.0,984.0,4.3879
-118.29,34.08,43.0,3056.0,1345.0,3920.0,1304.0,1.925
-120.85,37.57,27.0,819.0,157.0,451.0,150.0,3.4934
-119.81,36.78,36.0,1650.0,313.0,660.0,298.0,3.0
-122.28,37.52,38.0,2197.0,357.0,1228.0,373.0,5.4719
-118.19,33.77,35.0,1574.0,603.0,820.0,514.0,1.2321
-122.31,37.55,27.0,3931.0,933.0,1877.0,851.0,3.9722
-122.42,37.6,34.0,3562.0,565.0,1542.0,563.0,5.8783
-122.56,38.41,20.0,1151.0,211.0,478.0,183.0,5.93
-118.12,33.84,37.0,1242.0,221.0,565.0,213.0,4.1094
-117.74,35.65,15.0,2357.0,484.0,1110.0,442.0,3.1755
-121.81,37.31,15.0,1794.0,366.0,1533.0,371.0,5.7843
-118.14,34.06,39.0,2390.0,444.0,1246.0,422.0,3.7857
-122.33,37.93,27.0,2158.0,424.0,1220.0,442.0,3.0156
-119.07,37.8,12.0,1736.0,352.0,330.0,123.0,3.5294
-118.32,34.11,48.0,4472.0,1579.0,2796.0,1397.0,2.3974
-122.29,37.87,52.0,2225.0,460.0,1145.0,430.0,2.6165
-117.89,33.87,32.0,1569.0,422.0,835.0,386.0,3.0465
-121.48,38.53,38.0,1451.0,315.0,786.0,340.0,2.3487
-122.01,37.91,21.0,10093.0,1269.0,3645.0,1219.0,7.6877
-118.22,33.83,42.0,1370.0,299.0,1018.0,328.0,4.4474
-118.14,33.88,30.0,2596.0,580.0,1662.0,539.0,4.0507
-118.25,34.02,32.0,1375.0,448.0,1698.0,432.0,1.6302
-117.9,33.7,15.0,2289.0,686.0,982.0,634.0,4.5757
-118.01,33.78,19.0,2648.0,478.0,1160.0,452.0,5.9357
-121.24,38.7,13.0,3243.0,488.0,1585.0,480.0,5.7133
-117.24,32.75,36.0,2831.0,669.0,1279.0,660.0,2.9896
-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556
-117.88,33.63,21.0,9565.0,2289.0,3162.0,1831.0,4.7024
-121.28,38.02,8.0,1868.0,392.0,1258.0,389.0,3.175
-118.27,34.0,40.0,2099.0,599.0,2311.0,529.0,1.852
-117.92,33.79,26.0,2737.0,614.0,1877.0,606.0,2.8622
